"article","title","url"
"Otoritas Jasa Keuangan (OJK) mengungkap kasus tindak pidana perbankan yang dilakukan Komisaris  Bank Perkreditan Rakyat (BPR) Multi Artha Mas Sejahtera (MAMS) berinisial H. Dia disangka menggunakan dana nasabah untuk kepentingan pribadi senilai Rp 6,28 miliar dan terancam hukuman penjara minimal 5 tahun dengan denda minimal Rp 10 miliar. Kepala Departemen Penyidikan Sektor Jasa Keuangan Rokhmad Sunanto menjelaskan pengungkapan kasus ini berawal dari temuan dalam proses pengawasan yang dilakukan OJK terhadap kegiatan BPR MAMS. Temuan ini kemudian ditindaklanjuti oleh Satuan Kerja Penyidikan Sektor Jasa Keuangan OJK. “Tahun 2013, tersangka sudah punya niat jahat dengan membuka rekening pribadi di Bank BCA,” kata Rokhmad di Gedung OJK, Jakarta, Selasa (21/8). Tersangka dijerat menggunakan Pasal 49 Ayat 1 huruf (a) dan (b) Undang-Undang Nomor 10 Tahun 1998 tentang Perbankan. OJK juga telah mencabut izin bank yang beralamat di Bekasi, Jawa Barat ini pada 2016 lalu. (Baca:  ) Tersangka memerintahkan Direktur Operasional BPR MAMS untuk memindahkan kas yang ada di rekening bank tersebut ke rekening pribadi di Bank BCA tersebut. Rokhmad menjelaskan, alasan tersangka memindahkan uang tersebut, supaya bisa lebih besar jumlah tabungannya. Karena di rekening BPR itu berupa giro. “Itu argumentasi kepada ke bawahannya,” kata Rokhmad. Sebenarnya OJK sudah memperingatkan pihak bank tersebut saat itu. Namun, OJK tidak langusng memproses secara hukum karena tidak ingin keuangan perekonomian negara terganggu dengan adanya tindakan hukum tersebut. Meski sudah diingatkan, rekening pribadi tersebut ternyata tetap tidak ditutup. Akhirnya, pada 2016 kasus ini diserahkan ke departemen penyidikan OJK, sedangkan proses penyidikannya berjalan pada 2017. (Baca:  ) Rokhmad menjelaskan modus operandinya, tersangka membuka rekening di BCA, lalu secara berangsur-angsur memasukan uang sebanyak Rp 5 miliar sepanjang 2013-2016. Ada juga empat cek dari giro senilai Rp 480 juta. Berikutnya, ada pelunasan kredit dari nasabah sebesar Rp 500 juta yang juga dimasukan ke rekening BCA pribadi tersebut. Kemudian tersangka menjual dua unit mobil inventaris perusahaan senilai Rp 300 juta. Sehingga total kerugian nasabah BPR MAMS sebesar Rp 6,28 miliar. Uang ini kemudian digunakan tersangka untuk menjalankan bisnis lain, yaitu penyewaan alat berat. “Tapi uangnya tidak bisa kembali. Mungkin pikirannya dia berutang dulu, tapi tidak bisa dikembalikan. Tekor dia. Kemudian tidak tanggung jawab,” katanya. Sejumlah tindakan penyidikan yang telah dilakukan OJK terkait kasus ini, antara lain memeriksa 6 orang saksi termasuk pegawai BPR MAMS Bekasi, 1 orang ahli dari Institut Keuangan Perbankan dan Informatika Asia (PERBANAS) di Jakarta, dan memeriksa 1 orang tersangka. Kemudian menyita barang bukti berupa dokumen kredit dan kelengkapannya dengan penetapan penyitaan dari Pengadilan Negeri Bekasi, menyerahkan Berkas Perkara kepada Jaksa Penuntut Umum, menyerahkan tersangka dan barang bukti kepada Jaksa Penuntut Umum. Untuk penanganan kerugian nasabah, OJK telah menyerahkan kasus ini kepada Badan Reserse Kriminal (Bareskrim) Polri. Kepolisian akan menelusuri aset dari pembelian barang yang dilakukan oleh tersangka dengan uang tersebut dengan kasus Tindak Pidana Pencucian Uang. “Nanti semua aset kami sita untuk diserahkan sebagai harta kekayaan milik BPR MAMS, tentu di bawah pengawasan LPS (Lembaga Penjamin Simpanan). LPS yang akan menangani kerugian kepada nasabah,” kata Rokhmad.","OJK Ungkap Kejahatan Perbankan BPR Multi Artha Mas Sejahtera","http://katadata.co.id/berita/2018/08/21/ojk-ungkap-kejahatan-perbankan-bpr-multi-artha-mas-sejahtera"
"Perluasan akses pertukaran informasi perpajakan antarnegara dapat meresahkan nasabah bank yang notabene wajib pajak (WP). Tapi perbankan menyatakan respons ini bersifat sementara. Saling suplai data antarnegara juga diyakini tidak berpengaruh terhadap kinerja bank. Direktur Keuangan PT Bank Negara Indonesia (Persero) Tbk. Anggoro Eko Cahyo menuturkan, sekalipun muncul kekhawatiran nasabah atas penerapan Automatic Exchange of Information (AEoI) hanya terjadi pada periode awal sosialisasi saja. “Sebenarnya, biasanya kekhawatiran itu muncul pada awal saja. Orang mungkin merasa, kok uangnya diketahui. Tapi ini tidak ada (dampak kepada kinerja bank),” katanya, di Jakarta, Selasa (28/8). Pelaksanaan AEoI mulai September 2018 dapat memicu nasabah besar mengurangi jumlah simpanannya di bank supaya tidak menjadi konsumsi petugas pajak. Apabila keresahan semacam ini meluas dapat berpengaruh terhadap kinerja penghimpunan dana. Namun menurut Anggoro, kondisi itu tidak perlu terjadi. Selama aset yang disimpan di bank wajar maka nasabah tidak perlu resah hingga menarik simpanan. Sikap sembunyi-sembunyi WP justru bisa menimbulkan asumsi tendensius otoritas pajak. “Sebenarnya kalau masyarakat tidak ada yang disembunyikan kenapa mesti khawatir. Kalau transaksinya wajar-wajar saja, kenapa khawatir? Ini untuk masyarakat pada umumnya ya,” tuturnya. (Baca juga:  ) Dua tahun selepas diterapkan, AEoI akan ditinjau kembali pelaksanaannya oleh OECD (Organisation for Economic Co-operation and Development). Saat ini, total ada 146 yurisdiksi yang berkomitmen melaksanakan pertukaran data keuangan, dari jumlah ini 79 yurisdiksi menyatakan siap sebagai partisipan. Pada awalnya, setiap yurisdiksi setuju informasi yang dapat dipertukarkan hanya rekening keuangan si wajib pajak. Informasi rekening meliputi identitas pemilik rekening, identitas rekening, identitas lembaga keuangan, saldo akhir rekening, dan pendapatan atau penghasilan pemilik rekening. Cakupan AEoI lalu diperluas menyentuh pemungutan atau pemotongan pajak oleh pihak ketiga di dalam maupun luar negeri, plus keterangan dokumen per negara (Country by Country Report/CbCR). Alhasil, Ditjen Pajak Kemenkeu lebih leluasa menghimpun profil wajib pajak termasuk WP Indonesia yang mendapatkan pendapatan dari luar negeri. Senada dengan BNI, PT Bank Tabungan Pensiuan Nasional Tbk. (BTPN) mengutarakan bahwa sekalipun cakupan data di dalam AEoI diperluas tetapi perseroan yakin takkan mengganggu penghimpunan dana pihak ketiga (DPK). Direktur Keuangan dan Dana BTPN Arief Harris Tandjung menyatakan, dampak pertukaran informasi keuangan antarnegara terhadap kinerja bank tidak seberapa. “Sosialisasinya juga sudah cukup lama. Kekhawatiran nasabah awalnya ada tapi sekarang semua sudah mendapatkan info yang cukup,” ujarnya. Pelaksanaan AEoI antarnegara bertujuan supaya pemerintah lebih leluasa melacak potensi pajak di luar negeri. Sistem ini memungkinkan dilakukan pertukaran informasi rekening WP lintas negara.","Bank Ramal Nasabah Resah soal Keterbukaan Data tapi Cuma Sementara","http://katadata.co.id/berita/2018/08/28/bank-ramal-nasabah-resah-soal-keterbukaan-data-tapi-cuma-sementara"
"PT Bank Tabungan Negara (Persero) Tbk. tidak menerapkan program uang muka sebesar 0% sebagai upaya memacu pertumbuhan kredit pemilikan rumah (KPR). Per Juli tahun ini, realisasi penyaluran KPR mencapai Rp 157,55 triliun atau naik 22,07% secara  . Direktur BTN Iman Nugroho Soeko berpendapat, apabila diberlakukan uang muka KPR sebesar 0% maka nasabah menjadi semakin minim edukasi akan pentingnya menyisihkan pendapatan untuk membeli proporti. “Kami berkeinginan nasabah belajar menabung ketika mengambil KPR. Mengambil KPR adalah keputusan yang besar sehingga nasabah harus belajar menyisihkan pendapatan,""katanya, di Jakarta, Senin (27/8). (Baca juga:  ) Emiten bersandi saham BBTN tersebut menyatakan, pihaknya sudah punya program uang muka KPR rendah sebesar 1%. Ini merupakan bagian dari keterlibatan perseroan dalam program sejuta hunian bersubsidi untuk masyarakat berpenghasilan rendah. Sementara itu, Direktur BTN Mahelan Prabantarikso menyatakan, kepercayaan diri perseroan bahwa penyaluran KPR bakal tumbuh lebih baik mengingat   perumahan tetap ada. Bagi bank spesialis kredit properti ini, khususnya KPR bersubsidi, tentu  dapat dimanfaatkan menjadi peluang bisnis. “Kami terus melakukan inovasi dan transformasi untuk menggarap peluang bisnis yang ada. BTN juga terus menggelar promosi untuk meningkatkan penyaluran kredit perseroan secara keseluruhan terutama KPR,” ujarnya Mahelan. BBTN menilai, sejumlah kebijakan di sektor properti bakal semakin menggairahkan bisnis KPR. Contohnya, relaksasi rasio   ( LTV) dari BI, relaksasi Aset Tertimbang Menurut Risiko (ATMR) dari Otoritas Jasa Keuangan, serta masuknya dana Fasilitas Likuiditas Pembiayaan Perumahan (FLPP). Berdasarkan data Bank Indonesia (BI) menunjukkan, sebanyak 75,21% konsumen menggunakan fasilitas KPR untuk membeli properti residensial. Sekitar 16,13% lainnya memilih skema tunai bertahap, sedangkan 8,66% dengan skema tunai.  ","Pacu Penyaluran Kredit Rumah, BTN Tak Gunakan Uang Muka 0%","http://katadata.co.id/berita/2018/08/28/pacu-penyaluran-kredit-rumah-btn-tak-gunakan-uang-muka-0"
"Pemerintah akan segera membahas permasalahan defisit keuangan yang dialami Badan Penyelenggara Jaminan Sosial ( ) Kesehatan. Saat ini BPJS Kesehatan telah menyerahkan hasil proyeksi keuangannya kepada Kementerian Keuangan (Kemenkeu). “Minggu depan kemungkinan besar akan ada rapat di Kementerian Keuangan. Ibu Menteri Keuangan (Sri Mulyani)  meminta BPKP (Badan Pengawas Keuangan dan Pembangunan) melakukan   atas   yang disusun oleh BPJS Kesehatan,” kata Direktur Keuangan dan Investasi BPJS Kesehatan Kemal Imam Santoso di Jakarta, Senin (20/8). (Baca:  ) Kemal mengatakan saat ini BPKP telah selesai mengaudit laporan keuangan BPJS Kesehatan semester I-2018. Hasil laporan tersebut digunakan oleh Kemenkeu untuk  mempersiapkan strategi pembayaran tunggakan. Hasil audit BPKP menjadi acuan dalam menentukan besaran nominal defisit BPJS Kesehatan. Menteri Keuangan Sri Mulyani menjelaskan pada Kamis (9/8) lalu, hasil audit bakal memuat detail tagihan yang harus dibayarkan pemerintah pada semester pertama 2018. Selain itu, komponen penggunaan BPJS Kesehatan oleh masyarakat juga akan dimuat dalam laporan tersebut. Sri Mulyani menambahkan, pemerintah ingin mengkalkulasi tren kesehatan masyarakat dari hasil audit. Setelah itu, pemerintah bisa menghitung skema pembayarannya. (Baca juga:  ) Di pihak lain, Menteri Kesehatan Nina Moeloek juga bakal menyiapkan strategi pelayanan fasilitas kesehatan. “Standardisasi pelayanan bisa ditetapkan sehingga tidak berubah-ubah,” ujarnya. Sebelumnya, Presiden Joko Widodo (Jokowi) telah memutuskan pemerintah akan membantu menutup defisit keuangan BPJS Kesehatan. Defisit ini akan ditutup menggunakan Anggaran Pendapatan dan Belanja Negara (APBN). (Baca juga:  ).","Kemenkeu Akan Bahas Defisit Keuangan BPJS Kesehatan Pekan Depan","http://katadata.co.id/berita/2018/08/21/kemenkeu-akan-bahas-defisit-keuangan-bpjs-kesehatan-pekan-depan"
"Total pendapatan industri   sepanjang semester I-2018 tercatat hanya Rp 89,73 triliun. Capaian ini turun 22,9% dibandingkan perolehan pendapatan pada periode yang sama tahun lalu yang mencapai Rp 116,35 triliun. Penurunan ini dipengaruhi kondisi pasar modal yang lesu. Ketua Umum AAJI Hendrisman Rahim mengatakan menurunnya total pendapatan perusahaan disebabkan oleh menurunnya hasil investasi. Hasil investasi industri tercatat mengalami penurunan pada semester I-2018 sebesar 135,5%,  dari Rp 23,52 triliun menjadi minus Rp 8,35 triliun. ""Hal ini disebabkan oleh kondisi pasar modal di awal 2017 yang belum terlalu baik, di mana Indeks Harga Saham Gabungan (IHSG) yang bergejolak pada hasil investasi,"" kata Hendrisman di kantornya, Jakarta, Senin (27/8). Meski begitu, dia masih optimistis hingga akhir tahun catatan hasil investasi akan membaik. Mengacu  pengalaman sebelumnya, industri asuransi jiwa mampu kembali bangkit dari keterpurukan. Selain itu, penurunan hasil investasi ini sudah diprediksi oleh pelaku industri asuransi jiwa. (Baca:  ) Hendrisman memprediksi pelaku industri akan beralih dari investasi di instrumen pasar saham ke instrumen reksadana karena dinilainya lebih aman. Saat ini, pelaku asuransi jiwa menanamkan investasi ke reksadana dengan porsi 33%, sedangkan di saham sebesar 31,6%. Sisanya, 13,8% di Surat Berharga Negara (SBN), 10,6% deposito, 6,9% sukuk koperasi, 1,7% penyertaan langsung, 1,4% di properti seperti bangunan dan tanah, dan 1% di penempatan lain. Dia memperkirakan hingga akhir tahun ini porsi penempatan dana investasi asuransi jiwa di reksadana akan mencapai 40%, karena banyak yang mengalihkannya dari dari instrumen saham. “Saya kira di reksadana lebih stabil, dan saya juga akan pindah ke reksadana,” ujarnya. (Baca:  ) Di sisi lain, industri asuransi jiwa mencatat pertumbuhan pada pendapatan premi, total klaim dan manfaat, serta jumlah agen berlisensi. Total pendapatan premi naik 5,5% sebagai hasil dari meningkatnya pertumbuhan total premi bisnis baru dan total premi lanjutan, menjadi Rp 93,58 triliun. Pertumbuhan total pendapatan premi didorong oleh meningkatnya pendapatan premi dari saluran distribusi   yang meningkat sebesar 9,5% dan berkontribusi sebesar 44,9%. Kemudian dari saluran keagenan mengalami pertumbuhan tertinggi di antara saluran distribusi yang ada sebesar 9,9% dengan kontribusi 39,3%, sementara saluran distribusi alternatif mengalami perlambatan 12,2% dan memiliki kontribusi sebesar 15,9%. Pertumbuhan bisnis baru ditopang oleh meningkatnya kinerja saluran distribusi keagenan sebesar 27,9% dan saluran   yang naik 8,5%, dengan masing-masing berkontribusi sebesar 27,5% dan 55,7% terhadap premi bisnis baru. Pertumbuhan industri ini masih didorong oleh jenis produk asuransi terkait investasi ( ) yang berkontribusi 59,5% dari total premi, dan 52,4% dari bisnis baru. Sementara itu, produk tradisional berkontribusi 40,5% dari total premi, dan 47,6% dari bisnis baru. Jumlah investasi, pada kuartal kedua 2018 turut mengalami pertumbuhan sebesar 2,4% menjadi Rp 445,83 triliun. Kenaikan jumlah investasi menjadi kontributor utama dari kenaikan total aset sebesar 1,2% menjadi Rp 499,96 triliun.","Pendapatan Asuransi Jiwa Turun 23% di Semester I-2018","http://katadata.co.id/berita/2018/08/27/pendapatan-asuransi-jiwa-turun-23-di-semester-i-2018"
"PT Bank Bukopin Tbk dan PT Sarana Multigriya Finansial (SMF) menandatangani kerja sama pembiayaan terkait pembiayaan Kredit Pemilikan Rumah (KPR). Kolaborasi ini untuk mendukung percepatan program satu juta rumah yang dicanangkan pemerintah. Direktur Utama SMF Ananta Wiyogo mengatakan selain tujuan tersebut, kerja sama ini untuk merespons semakin tingginya permintaan kebutuhan pembiayaan kepemilikan rumah yang layak huni. Masyarakat menengah ke bawah memerlukan angsuran yang terjangkau dengan jumlah yang tetap. (Baca juga:  ). Hal tersebut, menurut Ananta, dapat dicapai melalui dua hal, yakni dengan menggunakan dana jangka panjang dan tingkat suku bunga tetap sehingga angsurannya tetap. “Di sinilah SMF menunjukkan kontribusinya sebagai Badan Usaha Milik Negara (BUMN) penyedia dana jangka panjang untuk perumahan,” kata Ananta dalam keterangan resminya, Rabu (15/8). Sementara itu, Direktur Utama Bank Bukopin Eko Rachmansyah Gindo berharap kerja sama tersebut dapat mendorong pengembangan pasar pembiayaan perumahan dan dapat mendukung rencana ekspansi kredit Bank Bukopin khususnya dalam penyaluran KPR. Rencananya, program ini akan berlangsung selama tiga tahun. “Dan kami optimistis Bank Bukopin juga dapat mendukung perluasan jangkauan pembiayaan sekunder perumahan di Indonesia yang dilakukan oleh perusahaan pembiayaan seperti SMF,” kata Eko. (Baca pula:  ). Selain Eko Rachmansyah dan Ananta Wiyogo, hadir dalam penandatanganan perjanjian kerja sama tadi antara lain Direktur Komersial Bank Bukopin Mikrowa Kirana, Direktur Operasi & Teknologi Informasi Bank Bukopin Adhi Brahmantya, dan Direktur Keuangan & Perencanaan Bank Bukopin M. Rachmat Kaimuddin. Ada pula Direktur Sekuritisasi & Pembiayaan SMF Heliantopo, serta jajaran manajemen lain dari kedua perusahaan.","Dorong Program Sejuta Rumah, Bank Bukopin Gandeng SMF Biayai Kredit","http://katadata.co.id/berita/2018/08/15/dorong-program-sejuta-rumah-bank-bukopin-gandeng-smf-biayai-kredit"
"Perusahaan media, data, dan riset   di bidang ekonomi dan bisnis,  , telah mendapatkan pendanaan tahap ketiga. East Ventures, perusahaan modal ventura, akan memimpin suntikan lanjutan berasama investor terdahulu seperti Emerging Media Opportunity Fund (EMOF) dan Lin Che Wei, seorang analis finansial dan kebijakan publik terkemuka di Indonesia Rencananya, dana segar ini akan digunakan untuk pengembangan produk dan sistem pengelolaan data dengan memanfaatkan teknologi  . “Ini merupakan bagian dari langkah lanjutan pengembangan Katadatasebagai media berbasis data atau  ,” kata Co-Founder dan CEO Katadata.co.id Metta Dharmasaputra. (Baca juga:  ) Menurut dia, dengan dukungan sistem data, diharapkan akan menghasilkan berita-berita dan analisis mendalam dengan berbasis data yang mampu membantu para pelaku bisnis, pemerintah dan pemangku kepentingan lainnya dalam pengambilan keputusan. Bila tak ada aral melintang, produk baru berbasis data ini diluncurkan pada akhir 2018. Melalui produk-produk yang berbobot tadi, Metta melanjutkan, hal ini sebagai upaya Katadata untuk menyajikan informasi ekonomi dan bisnis yang lebih mendalam dengan didukung oleh data dan analisis. Perusahaan juga berusaha menghadirkan konten ekonomi dan bisnis secara sederhana dan menarik, termasuk melalui tampilan visual infografik dan video, agar mudah dipahami publik. Sejak berdiri pada 2012, konten berita dan infografik yang ditampilkan di website   dan   menjadi referensi bagi para pengambil kebijakan. Sejumlah media internasional pun beberapa kali menjadikan konten Katadata sebagai rujukan pemberitaan. Managing Partner East Ventures Willson Cuaca mengungkapkan, “Fakta bahwa internet memberikan kemudahan di berbagai sektor bisnis adalah pedang bermata dua. Dengan media digital yang bergerak cepat di sekitar kita, banyak liputan berita hari ini tidak benar-benar diperiksa dan diuji fakta kebenarannya, namun tetap tersebar luas.” Karena itu, menurut Willson, diperlukan “otoritas berita” yang modern untuk menjembatani kesenjangan antara teknologi saat ini dengan kebutuhan sosial akan berita dan laporan yang dapat diandalkan. Ia menilai dengan menggabungkan prinsip-prinsip jurnalistik tradisional dengan metode distribusi berbasis teknologi terbaru dapat mencapai masa depan yang lebih baik. “East Ventures memiliki harapan besar agar Katadata menjadi teladan bagi media berita   di Indonesia,” ujarnya. (Baca pula:  ). Sebagaiamana diketahui, East Ventures adalah pendana tahap awal di kawasan Asia Tenggara dan Jepang. Selama beberapa tahun terakhir, East Ventures telah berinvestasi di ratusan perusahaan di Indonesia, Singapura, Jepang, Malaysia, dan Thailand. Mayoritas portofolio East Ventures mampu mendapatkan pendanaan lanjutan, mendominasi pasar dan bahkan menjadi pemimpin di bidangnya. Sementara itu, salah satu investor awal serta Co-Founder Katadata.co.id, Lin Che Wei, merasa optimistis suntikan dana baru dari investor awal dan pemodal ventura akan memantapkan posisi Katadata sebagai media digital terdepan di ekonomi dan bisnis yang berbasiskan data. Selain itu pendanaan ronde ketiga ini dipercaya akan memperkuat struktur permodalan untuk mempercepat proses digitalisasi,  dan  Katadata. “Katadata akan dapat menjadi media digital dengan fokus bisnis dan ekonomi yang paling terpercaya di Indonesia”, ujar Lin Che Wei. Chief Executive Officer MDIF Harlan Mandel mengaku senang bisa terlibat dalam pendanaan tahap lanjutan untuk Katadata.co.id. Menurutnya, Katadata adalah salah satu perusahaan media paling dinamis di Indonesia. “Katadata memiliki ambisi dan sumber daya manusia berbakat untuk terus  tumbuh dan membangun bisnis berdasarkan nilai-nilai kredibilitas, akurasi dan kebenaran. Prinsip-prinsip itu sejalan dengan misi MDIF. Karena itu, MDIF akan terus mendukung pengembangan yang dilakukan Katadata.co.id,” kata Harlan.","East Ventures Pimpin Pendanaan Tahap Tiga ke Katadata.co.id","http://katadata.co.id/berita/2018/08/16/east-ventures-pimpin-pendanaan-tahap-tiga-ke-katadatacoid"
"Otoritas Jasa Keuangan (OJK) mengubah ketentuan terkait Aktiva Tertimbang Menurut Risiko (ATMR) yang dikenakan kepada bank. Bobot risiko kredit beragunan rumah tinggal diubah supaya kredit properti terasa lebih fleksibel bagi pengembang. Kepala Eksekutif Pengawas Perbankan OJK Heru Kristiyana mengatakan, melalui Surat Edaran OJK tentang ATMR ditetapkan bahwa persentase aktiva tertimbang untuk bank umum konvensional maupun syariah lebih luwes tergantung kepada besaran rasio   (LTV) yang disalurkan. Saat ini, besaran ATMR kredit perumahan ditetapkan sama untuk semua bank dengan rasio LTV yang berbeda-beda. Ke depan, apabila rasio LTV oleh bank 20% maka ATMR yang dikenakan paling tinggi 50%. Untuk LTV 25% maka ATMR yang dikenakan berkisar 50% - 70%. Jika rasio 35% maka dibanderol dengan ATMR di antara 70% - 100%. Heru menuturkan pula bahwa ketetuan soal ATMR merupakan bagian rangkaian kebijakan baru OJK. Paket kebijakan ini bertujuan melonggarkan aturan pembiayaan di sektor properti sehingga ekspansi kredit lebih optimal. “Termasuk di dalam (paket kebijakan) itu menghapus larangan pemberian kredit pengolahan tanah bagi pengembang rumah tinggal,” kata Heru, di Jakarta, Rabu (15/8). (Baca juga:  ) OJK turut mengubah Peraturan tentang Pembatasan Pemberian Kredit untuk Pengadaan Tanah oleh Pengembang Perumahaan. Di dalam POJK baru dinyatakan, pengembang hunian bisa memperoleh kredit bank sejak masih dalam tahap pembebasan tanah. Beberapa syarat ditetapkan otoritas.  , kredit konstruksi yang diajukan   harus ditujukan untuk pembangunan rumah tapak atau susun, bukan kawasan komersil.  , pembangunan hunian harus direalisasikan paling lambat satu tahun sejak tanggal penandatanganan perjanjian kredit. ""Syarat terakhir, pencairan kredit atau pembiayaan dilakukan secara bertahap berdasarkan perkembangan proyek yang dibiayai,"" ujar Heru. Selain itu, otoritas juga menyesuaikan diri kepada Peraturan Bank Indonesia (PBI) tentang Penilaian Kualitas Aset Bank Umum. Hal ini dimuat dalam POJK tentang Penilaian Kualitas Aset Bank Umum untuk Mendorong Pertumbuhan Sektor Perumahan dan Peningkatan Devisa. Beleid tersebut mengatur adanya kenaikan batas nilai agunan yang harus dinilai oleh penilai independen dari Rp 5 miliar menjadi Rp 10 miliar. ""Meringankan persyaratan penilaian agunan sebagai faktor pengurang Penyisihan Penghapusan Aset (PPA),"" imbuh Heru. Sementara itu, Ketua Dewan Komisioner OJK Wimboh Santoso menjelaskan, pelonggaran peraturan di sektor properti ini diberlakukan dengan mempertimbangkan portofolio Kredit Perumahan Rakyat (KPR) dan Kredit Pemilikan Apartemen (KPA) porsinya hanya Rp 428,7 triliun atau sekitar 8,8% dari total   kredit per Mei tahun ini. Apabila ditarik rentang waktu selama tiga tahun terakhir diketahui, pertumbuhan KPR dan KPA memperlihatkan kondisi stagnan. ""Berdasarkan data dari Kementerian PUPR, diperkirakan   perumahan di Indonesia mencapai 13,5 juta unit,"" tutur Wimboh. Yang pasti, relaksasi kredit untuk pengembang properti diterapkan otoritas ini ditujukan untuk mendukung kebijakan Bank Indonesia terkait KPR melalui pelonggaran rasio LTV per Agustus 2018 sehingga memunculkan rencana menghadirkan program uang muka 0%.","OJK Longgarkan Ruang Gerak Pengembang Properti","http://katadata.co.id/berita/2018/08/16/ojk-longgarkan-ruang-gerak-pengembang-properti"
"Nasabah pemegang kartu debit Standard Chartered Bank Indonesia sekarang bisa bertransaksi melalui seluruh jaringan mesin ATM dan EDC yang dikelola PT Rintis Sejahtera alias jaringan Prima.   Kerja sama Standard Chartered Bank Indonesia dengan perusahaan  Rintis Sejahtera diharapkan dapat memperluas jangkauan layanan bagi para nasabah. Mulai sekarang, sekitar 31.000 nasabah pemegang kartu debit bisa memanfaatkan 120.000 mesin ATM Prima.   ""Selain mencerminkan kepatuhan bank terhadap regulator, kerja sama ini disepakati dalam rangka mendukung program GPN yang digagas Bank Indonesia,"" kata CEO Standard Chartered Bank Indonesia Rino Donosepoetro dalam siaran pers yang diterima  Jumat (10/8).   (Baca juga:  )   Sebaliknya, seluruh nasabah dari 78 bank yang bermitra dengan jaringan Prima juga bisa bertransaksi melalui mesin ATM milik Standard Chartered Bank Indonesia. Rino berharap, kerja sama ini dapat meningkatkan utilisasi jaringan perbankannya.   “Nasabah Priority Banking kami bisa gratis biaya transfer di jaringan Prima karena termasuk dalam jaringan transaksi domestik. Ini merupakan salah satu dukungan kami terhadap inisiatif   yang digagas pemerintah,"" ujarnya.   Sementara itu, Direktur Utama PT Rintis Sejahtera Iwan Setiawan berharap, kemitraan dengan Standard Chartered Bank Indonesia bisa mempermudah transaksi perbankan di dalam negeri. Perseroan mendukung industri perbankan bertransformasi lebih jauh ke arah digital.  ","Kini Nasabah Standard Chartered Bisa Transaksi Via ATM Prima","http://katadata.co.id/berita/2018/08/10/kini-nasabah-standard-chartered-bisa-transaksi-via-atm-prima"
"PT Sarana Multigriya Finansial melakukan penandatanganan kerja sama dengan perusahaan pembiayaan rumah asal Jepang, Japan Housing Finance Agency (JHF). Kerja sama ini terkait pengembangan pasar pembiayaan perumahan, khususnya pasar sekunder. Direktur Utama SMF Ananta Wiyogo mengatakan penandatanganan   (MoC) ini merupakan upaya nyata sinergi kedua belah pihak. Kedua entitas ini merupakan anggota Asian Secondary Mortgage Market Association (ASMMA) atau asosiasi perusahaan pembiayaan sekunder perumahan Asia. “Kerja sama ini diharapkan dapat menjadi langkah awal dan dasar bagi kedua belah pihak dalam melakukan penelitian, berbagi informasi dan pengetahuan yang berkaitan dengan pembiayaan perumahan,” kata Ananta dikutip dari siaran resmi pada Senin (13/8). (Baca:  ) Presiden JHF Toshio Kato, menyambut baik jalinan kerja sama dengan SMF. Keduanya merupakan perusahaan negara yang berperan mengembangkan pasar pembiayaan sekunder perumahan di negaranya masing-masing, sebagai Special Mission Vehicle (SMV). Rencananya, kerja sama ini akan berlangsung selama satu tahun. Dalam kerjasama ini, baik SMF maupun JHF, akan melakukan eksplorasi solusi dan pertukaran informasi kebijakan. Penelitian ini juga terkait dengan 7 hal “Kami optimis bahwa ke depannya sinergi ini selain dapat lebih mempererat hubungan kerja sama kedua belah pihak, juga dapat menjadi kontribusi dalam pertumbuhan pasar pembiayaan sekunder -perumahan di masing-masing negara dalam  mendukung pertumbuhan ekonomi di kawasan Asia,” ujar Ananta. (Baca:  ) Ananta menambahkan JHF memiliki program pembiayaan perumahan pascabencana yang mungkin dapat menjadi rujukan bagi SMF dalam membantu meringankan beban pemerintah dalam merevitalisasi permukiman masyarakat pascabencana alam di Indonesia.","Kembangkan Pasar Pembiayaan Rumah, SMF Gandeng Jepang","http://katadata.co.id/berita/2018/08/13/kembangkan-pasar-pembiayaan-rumah-smf-gandeng-jepang"
