article,title,url
"Kementerian Energi dan Sumber Daya Mineral (ESDM) segera memutuskan nasib pengelolaan   (CPP) setelah kontrak berakhir. Saat ini, pemerintah masih mengevaluasi proposal dari operator lama blok tersebut. Direktur Pembinaan Usaha Hulu Minyak dan Gas Bumi (Migas) Kementerian ESDM Ediar Usman mengatakan keputusan nasib blok tersebut akan ditentukan dalam pekan ini. ""Dalam minggu-minggu ini lah,"" ujar dia di Jakarta, Selasa (4/9). Ediar pun belum mau merinci proposal mana yang paling bagus yang telah diajukan kontraktor eksisting di blok tersebut. Adapun blok ini dikelola oleh Badan Operasi Bersama (BOB) PT Pertamina Hulu Energi - Bumi Siak Pusako. Dari data Kementerian ESDM, PT Bumi Siak Pusako telah menyampaikan permohonan/proposal perpanjangan kontrak kepada Menteri ESDM melalui SKK Migas pada 4 Mei 2018,. Lalu, 9 Mei 2018, PT Pertamina (Persero) juga telah menyampaikan permohonan/proposal pengelolaan Wilayah Kerja CPP kepada Menteri ESDM melalui SKK Migas. Namun belakangan Pertamina diketahui memutuskan tidak melanjutkan permohonan pengelolaan. Sementara itu PT Bumi Siak Pusako diberikan waktu lima hari kerja untuk menyampaikan keputusan final terkait pengelolaa Blok CPP pada 7 September 2018. Dikonfirmasi kepada Ediar mengenai kemunduran Pertamina itu, ia menolak untuk berkomentar. ""Semua masih dievaluasi,"" ujar dia.  Manajemen Pertamina juga belum berkomentar mengenai hal tersebut. Hingga berita diturunkan, Vice President Corporate Communication Pertamina Adiatma Sardjito belum membalas pesan yang disampaikan.  (Baca:  Dari data Kementerian ESDM, bonus tanda tangan blok ini ditetapkan US$ 20 juta, sementara komitmen kerja pastinya US$ 130,4 juta. Adapun pengelolaan blok ini tidak mendapatkan diskresi menteri untuk penambahan bagi hasil. Kontrak Blok CPP habis 8 Agustus 2022. Saat ini Pertamina dan Bumi Siak Pusako masing-masing memiliki hak kelola sebesar 50%.  Adapun cadangan tersisa blok ini hingga 1 Januari 2017 tercatat sebesar 149 MMTSB untuk minyak dan 9 BSCF untuk gas.  Produksi rata-rata Blok CPP sampai 15 Agustus 2018 mencapai 10.420 barel per hari (bph) untuk minyak dan kondensat. Sementara gasnya tidak berproduksi. Saat ini WK CPP memiliki 27 lapangan minyak berproduksi yang terbagi menjadi tiga area produksi : Zamrud area (11 lapangan), Pedada area (10 lapangan) dan West Area (enam lapangan).","Pertamina Dikabarkan Mundur, Nasib Blok CPP Diputuskan Pekan Ini",https://katadata.co.id/berita/2018/09/04/pertamina-dikabarkan-mundur-nasib-blok-cpp-diputuskan-pekan-ini
"Dewan Energi Nasional (DEN) mengusulkan agar pemerintah meniru India dalam pengembangan   penghasil listrik di atap. Ini karena India mampu memberikan insentif kepada masyarakat yang memasang panel surya. Anggota DEN Rinaldy Dalimi menjelaskan di India, masyarakat yang memiliki rumah dapat memasang panel surya di atap tanpa perlu mengeluarkan satu sen pun biaya. Ini karena bank lokal di sana yang akan memberikan pinjaman dengan bunga murah. Untuk mengganti biaya yang sudah dikeluarkan bank, masyarakat India membayar listriknya setiap bulan selama enam hingga tujuh tahun. ""Pembayaran listrik per bulan itu adalah pengembalian modal,"" kata Rinaldy di Jakarta, Selasa (4/9). Panel surya itu diperkirakaan bisa digunakan hingga 25 tahun. Dengan begitu bisa memberikan penghematan bagi masyarakat dalam menggunakan listrik. Dalimi mengatakan akan berbicara dengan pemerintah mengenai hal tersebut. Dengan meniru India, ia yakin penggunaan panel surya bagi rumah tangga akan semakin masif. ""Karena kalau tunggu panel surya murah itu baru 2030,"" kata dia. Tidak hanya itu ia berharap pemerintah Indonesia juga bisa meniru India dalam menciptakan  harga listrik panel surya yang murah. Di Indonesia, harga listrik dari panel surya mencapai US$ 7 sen per kwh, sementara di India bisa US$ 3 sen per Kwh. Di sisi lain, Pemerintah juga tengah menyiapkan insentif untuk penggunaan panel surya penghasil listrik yang ada di atap. Tujuannya untuk mendorong penggunaan pembangkit listrik tenaga matahari tersebut. Kepala Seksi Keteknikan Aneka Energi Baru Terbarukan Konvergensi Kementerian ESDM Ezrom MD Tapparan mengatakan ada dua hal yang disiapkan untuk menggairahkan penggunaan Pembangkit Listrik Tenaga Surya (PLTS). Pertama, aturan mengenai panel surya. Kedua, insentif. Ezrom enggan menjelaskan insentif apa yang diberikan. Yang jelas, insentif itu akan terpisah dengan aturan yang tengah digodok Kementerian ESDM. ""Tidak hanya memeberikan kebijakan tapi intensif bagi yang menggunakan PLTS atap di rumahnya masing-masing,"" kata dia, di Jakarta, Kamis (30/8). Harapannya tahun ini sudah ada beberapa instansi yang memasang panel surya. Targetnya bisa dipasang di Istana Negara dan gedung pemerintah, termasuk Kementerian ESDM. (Baca:  ) Informasi yang diperoleh Katadata.co.id, Kementerian Energi dan Sumber Daya Mineral (ESDM) memang sedang membahas mengenai pemberian insentif dengan Kementerian Keuangan. Beberapa insentif itu di antaranya pengurangan Pajak Penghasilan (PPh), Pajak Bumi dan Bangunan (PBB), dan Pajak Pajak Penjualan Atas Barang Mewah (PPnBM).",Dewan Energi Usul Pemerintah Tiru India Kembangkan Panel Surya di Atap,https://katadata.co.id/berita/2018/09/04/dewan-energi-usul-pemerintah-tiru-india-kembangkan-panel-surya-di-atap
"Tekanan terhadap nilai tukar rupiah semakin besar. Pada perdagangan di pasar spot, Selasa (4/9), nilai tukar   tajam hingga semakin mendekati level 15.000 per dolar AS. Seiring kondisi tersebut, nilai tukar rupiah di pasar berjangka atau forward melambung tinggi. Mengacu pada data  , nilai tukar rupiah ditutup pada level Rp 14.935 per dolar AS di pasar spot pada Selasa, melemah 0,81% dibandingkan penutupan hari sebelumnya. Pelemahan nilai tukar juga dialami mata uang Asia lainnya, namun hanya berkisar 0,1% sampai 0,51%. Ini artinya, nilai tukar rupiah melemah paling tajam.  Sementara itu, kurs jual di perbankan tercatat sudah menembus level 15.000 per dolar AS. Kurs jual dolar AS di Bank CIMB Niaga tercatat sebesar Rp 15.150, di Bank Central Asia (BCA) sebesar Rp 15.100, dan di Bank Mandiri sebesar Rp 15.012. Seiring kondisi tersebut, nilai tukar rupiah di pasar berjangka atau forward melambung tinggi. Berdasarkan data  , kurs rupiah di pasar forward untuk jangka waktu satu bulan telah menembus level 15.100 per dolar AS, sedangkan untuk jangka tiga bulan telah menembus level 15.400 per dolar AS. Dengan kurs forward yang di atas Rp 15.000 biaya lindung nilai ( ) dolar AS bakal lebih mahal. Menteri Koordinator Bidang Perekonomian Darmin Nasution menjelaskan pelemahan nilai tukar rupiah lebih disebabkan oleh faktor eksternal. Faktor eksternal yang berulang kali disebut di antaranya potensi kenaikan lebih lanjut bunga acuan AS, perang dagang antara AS dan Tiongkok, hingga sentimen negatif terkait krisis Turki dan Argentina. Tumpukan isu global tersebut memicu pelarian modal asing dari pasar keuangan negara berkembang ke aset safe haven seperti dolar AS. (Baca juga:  ) Adapun pada perdagangan di Bursa Efek Indonesia (BEI) pada Selasa ini, investor asing tercatat membukukan penjualan bersih ( ) di keseluruhan pasar sebesar Rp 428,48 miliar. Seiring aksi jual tersebut, Indeks Harga Saham Gabungan (IHSG) tercatat turun 1,04% ke level 5.905. Dengan perkembangan tersebut,   asing di saham telah mencapai Rp 50,49 triliun sepanjang tahun ini. Meski begitu, Darmin tak menepis adanya persoalan domestik yakni melebarnya defisit transaksi berjalan alias perdagangan barang dan jasa lintas negara. Pelebaran defisit menunjukkan membesarnya ketidakseimbangan antara pasokan dan permintaan valuta asing (valas). Pada kuartal II lalu, defisit transaksi berjalan tercatat mencapai US$ 8 miliar atau setara 3% terhadap Produk Domestik Bruto (PDB). Level defisit tersebut berada di ambang batas aman yang dibidik pemerintah. Pemerintah sendiri optimistis bisa menekan defisit transaksi berjalan lewat sederet kebijakan. Beberapa kebijakan yang diunggulkan seperti mendorong pariwisata, pembatasan impor khususnya barang konsumsi hingga kewajiban pencampuran minyak sawit sebesar 20% untuk solar. Dengan beragam kebijakan tersebut, pemerintah berharap defisit transaksi berjalan untuk keseluruhan bisa kembali ke bawah 3% terhadap PDB. (Baca juga:  ) Di luar itu, Menteri Keuangan Sri Mulyani Indrawati sempat menyebut bahwa pihaknya bersama anggota Komite Stabilitas Sistem Keuangan (KSSK) juga bakal memonitor pembelian dolar AS. Tujuannya, guna menghindari pembelian dolar AS untuk spekulasi. “Kami bersama KSSK akan meneliti dan memonitor detail tingkah laku dari pelaku pasar mana yang butuh transaksi (valas) yang   (yang jelas peruntukannya) dan mana transaksi yang tidak,"" kata dia, usai rapat dengan Presiden Joko Widodo, di Istana Negara, Jakarta, Senin (3/9). Adapun pelemahan cepat nilai tukar rupiah berisiko menganggu kinerja bisnis dan perekonomian. Februari lalu, Direktur Senior S&P Global Ratings Xavier Jean sempat memperingatkan pergerakan nilai tukar rupiah yang mendekati Rp 15.000 per dolar AS. Pada 2015, rupiah merosot dari kisaran Rp 12 ribu mendekati Rp 15.000 hanya dalam beberapa bulan. Kondisi tersebut berdampak terhadap kinerja perusahaan-perusahaan yang membutuhkan valuta asing (valas) untuk operasional. Bahkan, menurut dia, beberapa perusahaan sampai harus merestrukturisasi utang lantaran bisnisnya berisiko terhenti imbas pelemahan kurs ketika itu. Depresiasi cepat rupiah juga memengaruhi kepercayaan investor. ""Level 15.000 adalah level yang harus diperhatikan karena level Rp 15.000 adalah turbulensi yang nyata,"" ucapnya.","Tekanan Menguat, Kurs Rupiah 15.400 per Dolar AS di Pasar Berjangka",https://katadata.co.id/berita/2018/09/04/tekanan-menguat-kurs-rupiah-15400-per-dolar-as-di-pasar-berjangka
"Walau tren nilai tukar rupiah beberapa hari ini menunjukkan pelemahan tajam hingga mendekati 15.000 per dolar Amerika Serikat, Gubernur Bank Indonesia (BI) Perry Warjiyo optimistis kurs mata uang Indonesia makin menguat pada tahun depan. Hal itu seiring terurainya tekanan global yang mereda pada 2019. Karenanya, dia memprediksi pergerakan mata uang Garuda ini berada pada level Rp 14.300 -14.700 per dolar. “Kemungkinan tekanan akan mereda dengan menurunnya pertumbuhan ekonomi di dunia, termasuk Amerika sehingga kenaikan bunga acuannya tidak setinggi tahun ini,” kata Perry di kompleks Dewan Perwakilan Rakyat, Jakarta, Selasa (3/9/2018). (Baca:  ).  Seperti diketahui, pada perdagangan di pasar spot hari ini,   tajam mendekati level 15.000 per dolar. Efeknya, nilai rupiah di pasar berjangka atau   melambung tinggi. Data   menunjukkan rupiah ditutup pada level 14.935 per dolar di pasar  , melemah 0,81 % dibandingkan penutupan hari sebelumnya. Lagi-lagi, kejatuhan rupiah kali ini dipicu oleh faktor eksternal mulai dari dampak perang dagang yang dimotori Presiden Amerika Donald Trump, rencana kenaikan suku bunga acuan The Federal Reserve, hingga krisis ekonomi yang melanda Turki dan Argentina yang memicu sentimen negatif ke negara-negara berkembang lainnya. Menurut Perry, selain ada perubahan di faktor global pada tahun depan, kondisi domestik pun diramal ikut membaik. Faktor penentu dari dalam negeri ialah defisit transaksi berjalan (CAD) yang diperkirakan jauh berkurang dari tahun ini.(Baca juga:  ). Beberapa penopang perbaikan CAD ini seperti kebijakan pemerintah terkait penerapan biodiesel 20 % (B20) yang dapat menekan impor minyak hingga US$ 6 miliar. Penggunaan B20 juga dapat menambah ekspor minyak sawit mentah atau   (CPO). “Itu bisa menurunkan total defisit transaksi berjalan US$ 9-10 miliar,” ujarnya. Selain itu, pemerintah juga sedang menggenjot pariwisata untuk meningkatkan pasokan devisa dalam negeri. Perry memperkirakan tambahan devisa dari sektor ini mencapai US$ 3 miliar. Dengan demikian, setidaknya devisa meningkat US$ 12-13 miliar. Belum lagi langkah-langkah terkait pajak penghasilan (PPh) impor maupun penundaan sejumlah proyek yang segera dimumkan oleh pemerintah. Kemudian, kenaikan bunga acauan   tahun depan diprediksi menurun dengan kenaikan bunga acuan sebanyak dua hingga tiga kali. Sementara, total kenaikan The Fed pada tahun ini diperkirakan mencapai empat kali. Namun, di sisi lain, ketegangan perang dagang masih sulit untuk diprediksi. “Semoga ada solusi dari ketegangan perdagangan sehingga risiko di pasar keuangan global berkurang,” ujarnya. (Baca pula:  ). Bila langkah-langkah tersebut terealisasi, kemungkinan target rupiah di level Rp 14.300 -14.700 per dolar akan tercapai. Adapun pemerintah mengasumsikan rupiah dalam Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) 2019 pada posisi Rp 14.400 per dolar. Nilai tukar tersebut sudah memperhitungkan kondisi global pada tahun depan.","Ekonomi 2019 Diramal Membaik, BI Optimistis Rupiah Kembali ke 14.300",https://katadata.co.id/berita/2018/09/04/ekonomi-2019-diramal-membaik-bi-optimistis-rupiah-kembali-ke-14300
"Bank Indonesia (BI) akan memantau oknum yang memanfaatkan kejatuhan rupiah untuk praktik spekulasi melalui transaksi valas di bank. Gubernur BI Perry Warjiyo mengatakan, pembelian dolar semestinya memiliki   transaksi.   transaksi adalah kegiatan yang mendasari pembelian atau penjualan valuta asing terhadap rupiah.  ""Kami harus bedakan antara pembelian dengan   dan ada   dengan yang lain. BI kan punya ketentuan pembelian dolar AS itu harus ada  -nya,"" kata dia di Gedung DPR RI, Jakarta, Selasa (4/9). (Baca juga:  ) Sebelum krisis di Turki dan Argentina memanas, BI bersama Otoritas Jasa Keuangan (OJK) telah memeriksa   transaksi. Dua otoritas ini tidak menemukan pembelian valuta asing tanpa  . Tapi pemeriksaan pada perbankan akan dilakukan lagi. Tapi belum dapat dipastikan sanksi apa yang akan diberikan apabila ditemukan spekulan yang menunggangi rupiah. Perry hanya memastikan, bank sentral akan fokus menstabilkan nilai tukar rupiah, meningkatkan intervensi di pasar valas, membeli surat berharga negara (SBN) di pasar sekunder, dan mengimbau korporasi yang menjual valas. ""Yang punya valas tolong dijual. Dan yang tidak butuh segera, tidak usah nubruk-nubruk supaya semuanya terkendali,"" ujarnya. (Baca juga:  ) Ketentuan   transaksi diatur dalam Peraturan Bank Indonesia Nomor 18/18/PBI/2016 tentang Transaksi Valuta Asing Terhadap Rupiah Antara Bank dengan Pihak Domestik. Perincian teknisnya dibahas tersendiri di dalam surat edaran BI secara terpisah. Beleid dari bank sentral menyatakan, pembelian valas oleh nasabah melalui bank tanpa   transaksi hanya dapat dilakukan paling banyak sebesar US$ 25.000 atau ekuivalennya per bulan per nasabah melalui transaksi spot. Untuk nominal US$ 100.000 atau ekuivalennya per bulan per nasabah bisa juga tanpa   khusus untuk transaksi derivatif valas terhadap rupiah yang standar ( ).",Bank Indonesia Pantau Spekulan Rupiah melalui Bank,https://katadata.co.id/berita/2018/09/04/bank-indonesia-pantau-spekulan-rupiah-melalui-bank
"Ketua Komisi Pemilihan Umum ( ) Arief Budiman mempersilakan koalisi Prabowo Subianto-Sandiaga Uno melaporkan tudingan mengenai 25 juta pemilih ganda dalam Daftar Pemilih Sementara (DPS) Pemilu 2019. Hingga saat ini kubu koalisi Prabowo-Sandiaga belum melaporkan tudingan tersebut ke KPU. ""Sampai tadi pagi secara tertulis belum (ada laporan),"" kata Arief di Kemenko Polhukam, Jakarta, Selasa (4/9). Arief mengatakan, laporan yang akan disampaikan koalisi Prabowo-Sandiaga haruslah melampirkan data valid. Sehingga, KPU akan bisa memeriksa permasalahan tersebut secara cepat. (Baca juga:  ) Alasannya, KPU akan menetapkan DPS tersebut menjadi Daftar Pemilih Tetap (DPT) Pemilu 2019 dalam Rapat Pleno pada Rabu (5/9). ""Supaya kami bisa langsung cek. Sekarang kan kami sudah bekerja dengan sistem teknologi informasi. Kalau 25 juta saya mengecek satu-satu kan lama,"" kata Arief. Arief menyatakan waktu kurang dari 24 jam tersebut masih cukup untuk memeriksa dan mengubah DPS. Meski demikian, dia menyatakan bahwa perubahan tersebut harus sesuai aturan yang berlaku. Arief sendiri tak mempercayai tudingan 25 juta identitas ganda pada DPS Pemilu 2019. Arief meyakini data DPS Pemilu 2019 yang dimiliki KPU sudah sesuai. ""InsyaAllah (DPS Pemilu 2019) rapi,"" kata Arief. (Baca juga:  ) Tudingan identitas ganda ini disampaikan Sekretaris Jenderal PKS Mustafa Kamal. Mustafa menilai data identitas pemilih tersebut digandakan hingga sebelas kali. Dia memperkirakan data 25 juta pemilih tersebut setara 18 persen suara dalam pilpres. Jika dikonversi ke ranah pemilihan legislatif, 25 juta data pemilih ganda tersebut sepadan dengan 104 kursi di DPR. Atas dasar itu, koalisi Prabowo-Sandiaga meminta DPS terbaru KPU yang sejumlah 185 juta pemilih untuk kembali diperiksa. Jika hal tersebut tidak dilakukan, koalisi Prabowo-Sandiaga bakal menolak Rapat Pleno KPU esok hari. ""Menolak rencana KPU yang akan menetapkan DPT pileg dan Pilpres yang akan dilaksanakan pada hari Rabu, 5 September 2018,"" ujar Mustafa.",KPU Minta Prabowo-Sandiaga Laporkan Tudingan 25 Juta Pemilih Ganda,https://katadata.co.id/berita/2018/09/04/kpu-minta-prabowo-sandiaga-laporkan-tudingan-25-juta-pemilih-ganda
"Dewan Energi Nasional (DEN) menyatakan belum semua provinisi di Indonesia menyelesaikan Rencana Umum Energi Daerah ( ). Padahal cetak biru tersebut bisa menjadi pegangan pemerintah dalam mengejar target penyediaan energi bersih sebesar 23% pada tahun 2025. Anggota DEN Rinaldy Dalimi mengatakan RUED ini penting untuk mengetahui potensi energi yang ada di suatu daerah dan pemanfaatannya dalam jangka panjang hingga tahun 2050. RUED ini merupakan turunan dari Rencana Umum Energi Nasional (RUEN). Seharusnya RUED terbit setahun setelah RUEN terbit. Adapun RUEN terbit pada Maret 2017. ""RUED ujungnya bagaimana untuk mencapai target yang sudah digariskan di kebijakan energi nasional, di mana 2025 target 23% tercapai. Kalau ini tidak jelas akan mengganggu 23% bauran energi baru terbarukan,"" ujar dia di Jakarta, Selasa (4/9). Dari 34 provinsi, ada delapan provinsi yang sudah menyelesaikan draf Rancangan Peraturan Daerah (Raperda). Delapan provinsi itu adalah Bengkulu, Jawa Barat, DKI Jakarta, Jawa Tengah, Jawa Timur, Kalimantan Utara, Nusa Tenggara Barat, dan Maluku. Delapan provinsi itu masih berproses untuk menyelesaikan legalisasi draf menjadi Peraturan Daerah. Sementara 26 provinsi lainnya belum menyusun draf Raperda. Ada beberapa tantangan dalam membantu pemerintah daerah menyelesaikan RUED, salah satunya proses legalisasi menjadikan peraturan daerah. Apalagi penyusunan peraturan daerah merupakan kewenangan Dewan Perwakilan Rakyat Daerah (DPRD) setempat. Meski ada tantangan, DEN akan mendampingi penyusunan peraturan daerah. ""Kalau DPRD tidak punya info yang sama soal RUED, mereka akan tanya angka-angka, bisa lebih lama,“ kata dia. Tantangan lainnya yang memperlama penyusunan RUED adalah Pemilihan Umum (Pemilu). DEN akan terus memantau perkembangan di daerah agar tidak ada gangguan dalam penyusunannya. (Baca:  ) Anggota DEN Dwi Hary Soeryadi menargetkan sampai akhir tahun ini RUED bisa selesai menjadi Peraturan Daerah. Nantinya pihak DEN akan membentuk tim asistensi dan supervisi untuk mengawal penyusunan RUED berjalan lancar. Jika daerah belum juga menyelesaikan RUED dapat dikenakan sanksi. ""Itu sanksi nanti, kami mau bentuk tim dulu,"" kata dia.",Molornya Pembuatan ‘Cetak Biru’ Daerah Ancam Penyediaan Energi Bersih,https://katadata.co.id/berita/2018/09/04/molornya-pembuatan-cetak-biru-daerah-ancam-penyediaan-energi-bersih
"Menteri Koordinator Bidang Perekonomian Darmin Nasution meminta masyarakat tidak menyamakan anjloknya nilai tukar   saat ini dengan yang terjadi 20 tahun lalu. Karena pelemahan rupiah pada dua periode ini berangkat dari titik level yang berbeda. Pelemahan rupiah pada 1998 melesat dari level Rp 2.800 per dolar Amerika Serikat (AS) ke posisi Rp 14 ribuan. Sementara pada saat ini berangkat dari posisi yang sudah sudah cukup tinggi, dari Rp 14 ribu naik hingga mencapai Rp 14.800. Dengan begitu, tidak bisa disamakan kondisi pelemahan rupiah pada 1998 dengan 2018. Menurut Darmin, pelemahan rupiah yang terjadi saat ini lebih besar dipengaruhi faktor eksternal. ""Fundamental ekonomi kita (sekarang) masih oke,"" ujarnya saat ditemui usai rapat bersama Presiden Joko Widodo (Jokowi) di Istana Kepresidenan, Jakarta, Selasa (4/9). (Baca:  ) Satu-satunya masalah dalam negeri, kata dia, adalah defisit transaksi berjalan yang masih menganga hingga mencapai 3% dari Pendapatan Domestik Bruto (PDB). Namun, Darmin beranggapan angka tersebut masih kecil ketimbang negara semodel Turki hingga Argentina. Defisit ini pun masih lebih kecil dibandingkan tahun 2014 yang mencapai 4,2%. Pemerintah pun berupaya menekan defisit ini dengan rencana mengeluarkan kebijakan baru. Darmin menjelaskan kebijakan tersebut akan meliputi langkah memacu ekspor hingga memberdayakan devisa melalui sektor seperti pariwisata. Dengan kebijakan tersebut, pemerintah angka defisit transaksi berjalan bisa turun hingga 2,7%. ""Tapi kami harap bisa turun lagi,"" ujar mantan Gubernur Bank Indonesia tersebut. (Baca:  ) Sedangkan Menteri Keuangan Sri Mulyani kemarin mengatakan pemerintah, Bank Indonesia (BI) dan Otoritas Jasa Keuangan (OJK) akan menyiapkan sejumlah langkah jangka pendek untuk mengatasi masalah nilai tukar rupiah yang terus tertekan. Untuk saat ini, pemerintah akan mengambil kebijakan yang bisa memperkuat devisa. ""Karena ini yang memang bisa dikontrol,"" kata Sri Mulyani. (Baca:  )  ",Menko Darmin: Jangan Samakan Keoknya Rupiah Saat Ini dengan 1998,https://katadata.co.id/berita/2018/09/04/menko-darmin-jangan-samakan-keoknya-rupiah-saat-ini-dengan-1998
"McKinsey memproyeksikan nilai pasar   Indonesia akan tumbuh delapan kali lipat dalam lima tahun hingga mencapai US$ 65 miliar atau sekitar Rp 910 triliun pada 2022. Tugas pemerintah adalah memastikan agar kue besar itu dapat dinikmati secara merata oleh masyarakat Indonesia. Direktur Jenderal Industri Kecil dan Menengah, Kementerian Perindustrian, Gati Wibawaningsih menyatakan bahwa dengan 250 juta penduduk, Indonesia adalah 40% pasar   ASEAN. “Kita harus berperan serta untuk menjadi pemain,” ujarnya dalam diskusi seputar festival 9.9 Super Shopping Day di Jakarta, Selasa (4/9). Kementetrian Perindustrian saat ini mendorong Industri Kecil dan Menengah (IKM) beralih ke bisnis digital lewat program e-Smart. Hingga Agustus, jumlah IKM yang tergabung dalam program ini mencapai 3.450 dari target 4 ribu tahun ini. “Kami dari Kementerian Perindustrian sangat mendukung adanya  ,” ujarnya. Sementara CEO Katadata Metta Dharmasaputra menyatakan, pesatnya pertumbuhan   dapat berdampak besar bagi perekonomian. ""E  akan jadi alat yang sangat signifikan untuk pertumbuhan dan pemerataan ekonomi,"" ujarnya. (Baca juga:  ) Mengutip survei McKinsey, nilai pasar   diperkirakan mencapai US$ 65 miliar atau Rp 910 triliun pada 2022. Angka itu naik sekitar delapan kali lipat dari US$ 8 miliar atau Rp 112 triliun pada tahun lalu. Artinya, rata-rata nilai pasar   Indonesia naik Rp 160 triliun per tahun. Maka, dalam waktu depat nilai pasar   akan menyusul Produk Domestik Bruto (PDB) ekonomi kreatif yang menurut Badan Ekonomi Kreatif (Bekraf) telah mencapai Rp 1.000 triliun pada 2017. Sementara rata-rata kenaikan PDB ekonomi kreatif tercatat sebesar Rp 67,7 triliun per tahun sejak 2010. Berkaca dari kajian tersebut, sektor   dan ekonomi kreatif dinilainya bisa digenjot untuk mendorong pertumbuhan ekonomi kembali ke level 7-8% per tahun. Alasannya,   membuat harga barang menjadi lebih murah dan menyentuh banyak wilayah di Tanah Air. Alhasil, peluang masyarakat untuk berbelanja akan meningkat. ""Konsumsi rumah tangga bisa meningkat. Ini bisa menjadi mesin penggerak ekonomi,"" kata Metta. (Baca juga:  ) Head of Government Relations Shopee Indonesia Radityo Triatmojo pun mengamini potensi besar   sebagai penggerak ekonomi. Di Shopee saja,  transaksi (gross merchandise value/GMV) tumbuh 173% secara tahunan (year on year/yoy) menjadi US$ 4,1 miliar atau sekitar Rp 59,4 triliun pada Semester I-2018. ""Pertumbuhan   itu sampai berkali-kali lipat dalam setahun,"" kata dia. Salah satu strategi Shopee untuk mengambil potensi itu adalah dengan menyediakan layanan pengiriman kilat pada hari yang sama. ""Ini sedang kami kembangkan.""    Sementara itu, Blibli fokus membangun gudang di beberapa daerah. Dengan begitu, Blibli bisa merengkuh pasar hingga ke daerah terdepan, terluar, dan tertinggal. Saat ini, Blibli memiliki tujuh gudang yang tersebar di Medan,  DKI Jakarta, Tangerang, dan Surabaya. Blibli juga memiliki 14 gudang transit atau hub yang tersebar di seluruh wilayah Indonesia.  ""Kami dalam proses perluasan di seluruh  Indonesia. Keberadaan gudang di berbagai lokasi di Indonesia, untuk mengakomodir pesanan para pelanggan,"" ujar Public Relation and Community Manager Blibli Christine Lie Hartati.",E-Commerce Dinilai Bisa Jadi Alat Pemerataan Ekonomi,https://katadata.co.id/berita/2018/09/04/e-commerce-dinilai-bisa-jadi-alat-pemerataan-ekonomi
"Kementerian Perindustrian ( ) gencar mendorong Usaha Kecil dan Menengah (UKM) beralih ke bisnis digital lewat program e-Smart. Hingga Agustus, UKM yang tergabung dalam program ini mencapai 3.450 dari target 4 ribu tahun ini. Direktur Jenderal IKM Kemenperin Gati Wibawaningsih menjelaskan, program ini akan membantu IKM untuk lebih efisien dan menjangkau lebih banyak pasar. Selain itu, ia mendorong IKM mengadopsi teknologi kode Quick Response (QR) untuk pembayaran. Ia berharap, penggunaan teknologi akan mendorong efisiensi di sektor ini. ""IKM di E-Smart belum ada (yang pakai kode QR). Tahun depan kerja sama,"" ujarnya saat diskusi seputar festival 9.9 Super Shopping Day di KAUM Jakarta, Selasa (4/9). Saat ini, Kemenperin sudah bekerja sama dengan PT Bank Mandiri Tbk untuk memfasilitasi IKM menggunakan kode QR. Hanya, adopsi teknologi untuk pembayaran ini baru akan direalisasikan tahun depan. Setelahnya, Kemenperin bakal bekerja sama dengan bank Badan Usaha Milik Negara (BUMN) lainnya. (Baca juga: ) Adapun program e-Smart untuk Industri Kecil dan Menengah (IKM) diluncurkan sejak 2017 di 22 provinsi. Kemenperin melibatkan Bank Indonesia (BI), BNI, Google, iDeA, serta Kementerian Komunikasi dan Informatika (Kominfo) untuk menyelenggarakan program ini.   seperti Bukalapak, Tokopedia, Shopee, BliBli, Blanja.com, Ralali, dan Go-Jek Indonesia juga digandeng untuk melaksanakan program ini. Program ini fokus mengembangkan IKM di sembilan komoditas yakni makanan dan minuman, logam, perhiasan, herbal, kosmetik, fashion, kerajinan, furnitur, dan industri kreatif lainnya. ""Dari seluruh peserta di e-Smart IKM, kami mencatat, nilai penjualan yang dibukukan sudah mencapai Rp 1,3 miliar,"" kata Gati.",Kemenperin Dorong UKM Adopsi Sistem Pembayaran QR Code,https://katadata.co.id/berita/2018/09/04/kemenperin-dorong-ukm-adopsi-sistem-pembayaran-qr-code
